GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chess,areolsen.model,Side,0,15,0,0,0,3,0,1,0,1
chess,areolsen.model,Piece,26,164,6,22,5,33,6,13,0,5
chess,areolsen.model,Move,0,15,0,0,0,1,0,1,0,1
chess,areolsen.model,Board,85,727,22,73,21,143,20,55,0,25
chess,areolsen.sound,SoundPlayer,7,36,0,2,2,12,0,3,0,2
chess,areolsen.view,View,133,0,2,0,33,0,7,0,6,0
chess,areolsen.view,GameOverView,44,0,0,0,13,0,6,0,6,0
chess,areolsen.view,ChessView,290,0,20,0,55,0,19,0,9,0
chess,areolsen.view,MenuView,58,0,0,0,15,0,7,0,7,0
chess,areolsen.view,ViewHandler,218,0,14,0,54,0,17,0,10,0
chess,areolsen,App,76,0,0,0,12,0,2,0,2,0
chess,areolsen.model.pieces,KnightPiece,0,50,0,10,0,7,0,9,0,4
chess,areolsen.model.pieces,RookPiece,0,76,1,7,0,19,1,7,0,4
chess,areolsen.model.pieces,KingPiece,0,36,0,4,0,7,0,6,0,4
chess,areolsen.model.pieces,QueenPiece,0,94,1,17,0,21,1,12,0,4
chess,areolsen.model.pieces,PawnPiece,0,152,2,38,0,24,2,22,0,4
chess,areolsen.model.pieces,BishopPiece,0,92,1,9,0,18,1,8,0,4
chess,areolsen.model.grid,Position,0,99,1,15,0,12,1,14,0,7
chess,areolsen.model.grid,HashGrid,7,161,3,25,2,38,3,21,0,10
chess,areolsen.controller,MinMaxController,97,175,18,18,25,41,12,11,0,5
chess,areolsen.controller,PvpController,35,0,4,0,11,0,4,0,2,0
chess,areolsen.controller,Controller,82,20,4,0,21,8,10,3,8,3
